date,repo,issues_opened_external,issues_closed_via_pr_external,issues_closed_other_external,prs_opened_core,pr_reviews_external
2026-05-16,features,0,0,0,0,0
2026-05-16,agents,0,0,0,0,0
2026-05-16,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-16,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-17,fullsend,1,0,0,0,0
2026-05-17,.fullsend,0,0,0,0,0
2026-05-17,experiments,0,0,0,0,0
2026-05-17,metrics,0,0,0,0,0
2026-05-17,features,0,0,0,0,0
2026-05-17,agents,0,0,0,0,0
2026-05-17,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-17,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-18,fullsend,1,0,0,18,0
2026-05-18,.fullsend,0,0,0,0,0
2026-05-18,experiments,0,0,0,0,0
2026-05-18,metrics,0,0,0,0,0
2026-05-18,features,0,0,0,0,0
2026-05-18,agents,0,0,0,0,0
2026-05-18,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-18,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-19,fullsend,6,1,2,15,1
2026-05-19,.fullsend,0,0,0,0,0
2026-05-19,experiments,0,0,0,0,0
2026-05-19,metrics,0,0,0,0,0
2026-05-19,features,0,0,0,0,0
2026-05-19,agents,0,0,0,0,0
2026-05-19,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-19,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-20,fullsend,1,0,1,12,0
2026-05-20,.fullsend,0,0,0,0,0
2026-05-20,experiments,0,0,0,1,0
2026-05-20,metrics,0,0,0,0,0
2026-05-20,features,0,0,0,0,0
2026-05-20,agents,0,0,0,0,0
2026-05-20,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-20,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-21,fullsend,4,1,1,7,3
2026-05-21,.fullsend,0,0,0,0,0
2026-05-21,experiments,0,0,0,0,0
2026-05-21,metrics,0,0,0,0,0
2026-05-21,features,0,0,0,0,0
2026-05-21,agents,0,0,0,0,0
2026-05-21,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-21,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-22,fullsend,0,0,0,0,0
2026-05-22,.fullsend,0,0,0,0,0
2026-05-22,experiments,0,0,0,0,0
2026-05-22,metrics,0,0,0,0,0
2026-05-22,features,0,0,0,0,0
2026-05-22,agents,0,0,0,0,0
2026-05-22,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-22,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-23,fullsend,0,0,0,0,0
2026-05-23,.fullsend,0,0,0,1,0
2026-05-23,experiments,0,0,0,0,0
2026-05-23,metrics,0,0,0,0,0
2026-05-23,features,0,0,0,0,0
2026-05-23,agents,0,0,0,0,0
2026-05-23,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-23,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-24,fullsend,0,0,0,0,0
2026-05-24,.fullsend,0,0,0,0,0
2026-05-24,experiments,0,0,0,0,0
2026-05-24,metrics,0,0,0,0,0
2026-05-24,features,0,0,0,0,0
2026-05-24,agents,0,0,0,0,0
2026-05-24,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-24,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-25,fullsend,5,0,2,2,0
2026-05-25,.fullsend,0,0,0,0,0
2026-05-25,experiments,0,0,0,0,0
2026-05-25,metrics,0,0,0,0,0
2026-05-25,features,0,0,0,0,0
2026-05-25,agents,0,0,0,0,0
2026-05-25,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-25,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-26,fullsend,8,4,1,12,0
2026-05-26,.fullsend,0,0,0,1,0
2026-05-26,experiments,0,0,0,0,0
2026-05-26,metrics,0,0,0,0,0
2026-05-26,features,0,0,0,0,0
2026-05-26,agents,0,0,0,0,0
2026-05-26,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-26,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-27,fullsend,1,0,2,16,1
2026-05-27,.fullsend,0,0,0,0,0
2026-05-27,experiments,0,0,0,0,0
2026-05-27,metrics,0,0,0,0,0
2026-05-27,features,0,0,0,0,0
2026-05-27,agents,0,0,0,0,0
2026-05-27,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-27,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-28,fullsend,0,2,0,17,1
2026-05-28,.fullsend,0,0,0,0,0
2026-05-28,experiments,0,0,0,0,0
2026-05-28,metrics,0,0,0,0,0
2026-05-28,features,1,0,0,0,0
2026-05-28,agents,0,0,0,0,0
2026-05-28,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-28,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-29,fullsend,1,0,1,8,0
2026-05-29,.fullsend,0,0,0,0,0
2026-05-29,experiments,0,0,0,0,0
2026-05-29,metrics,0,0,0,0,0
2026-05-29,features,0,0,0,0,0
2026-05-29,agents,0,0,0,0,0
2026-05-29,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-29,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-30,fullsend,0,0,0,1,0
2026-05-30,.fullsend,0,0,0,0,0
2026-05-30,experiments,0,0,0,0,0
2026-05-30,metrics,0,0,0,0,0
2026-05-30,features,0,0,0,0,0
2026-05-30,agents,0,0,0,0,0
2026-05-30,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-30,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-31,fullsend,0,0,0,3,0
2026-05-31,.fullsend,0,0,0,0,0
2026-05-31,experiments,0,0,0,0,0
2026-05-31,metrics,0,0,0,0,0
2026-05-31,features,0,0,0,0,0
2026-05-31,agents,0,0,0,0,0
2026-05-31,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-31,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-06-01,fullsend,3,0,0,6,0
2026-06-01,.fullsend,0,0,0,0,0
2026-06-01,experiments,0,0,0,0,0
2026-06-01,metrics,0,0,0,0,0
2026-06-01,features,0,0,0,0,0
2026-06-01,agents,0,0,0,0,0
2026-06-01,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-06-01,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-06-02,fullsend,1,0,1,10,0
2026-06-02,.fullsend,0,0,0,0,0
2026-06-02,experiments,0,0,0,0,0
2026-06-02,metrics,0,0,0,0,0
2026-06-02,features,0,0,0,1,0
2026-06-02,agents,0,0,0,0,0
2026-06-02,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-06-02,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-06-03,fullsend,5,0,2,12,1
2026-06-03,.fullsend,0,0,0,0,0
2026-06-03,experiments,0,0,0,0,0
2026-06-03,metrics,0,0,0,0,0
2026-06-03,features,0,0,0,0,0
2026-06-03,agents,0,0,0,0,0
2026-06-03,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-06-03,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-06-04,fullsend,1,1,0,8,0
2026-06-04,.fullsend,0,0,0,0,0
2026-06-04,experiments,0,0,0,0,0
2026-06-04,metrics,0,0,0,0,0
2026-06-04,features,0,0,0,0,0
2026-06-04,agents,0,0,0,0,0
2026-06-04,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-06-04,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-06-05,fullsend,3,2,0,9,0
2026-06-05,.fullsend,0,0,0,1,0
2026-06-05,experiments,0,0,0,0,0
2026-06-05,metrics,0,0,0,0,0
