date,repo,feat,fix,docs,ci,chore,test,perf,other,fix_core,fix_external,fix_bot,fix_unlinked
2026-07-22,agents,0,6,3,0,0,1,1,0,5,0,1,0
2026-07-23,fullsend,5,4,8,4,2,5,0,2,2,0,2,0
2026-07-23,agents,1,2,0,0,0,1,0,0,1,0,1,0
2026-07-24,fullsend,0,8,3,0,3,0,0,1,5,0,3,0
2026-07-24,agents,1,1,1,0,1,0,0,0,1,0,0,0
2026-07-25,fullsend,1,2,1,0,0,0,0,0,2,0,0,0
2026-07-25,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-26,fullsend,1,1,1,0,0,0,0,0,1,0,0,0
2026-07-26,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-27,fullsend,3,3,6,2,2,1,0,1,2,0,1,0
2026-07-27,agents,2,0,0,0,0,0,0,0,0,0,0,0
2026-07-28,fullsend,1,2,2,0,3,3,1,2,1,0,1,0
2026-07-28,agents,1,1,0,0,0,0,0,0,1,0,0,0
2026-07-29,fullsend,3,4,4,1,2,2,0,1,2,0,1,1
2026-07-29,agents,0,1,2,0,0,1,0,0,1,0,0,0
2026-07-30,fullsend,0,9,5,0,4,1,0,2,7,0,1,1
2026-07-30,agents,0,3,4,0,1,0,0,0,1,0,1,1
2026-07-31,fullsend,2,2,1,0,1,1,0,1,0,0,1,1
2026-07-31,agents,1,4,1,0,0,0,0,0,3,0,1,0
2026-08-01,fullsend,3,0,0,0,0,0,0,0,0,0,0,0
2026-08-01,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-02,fullsend,1,1,1,0,0,0,0,0,1,0,0,0
2026-08-02,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-03,fullsend,5,5,3,0,9,0,0,0,5,0,0,0
2026-08-03,agents,0,1,0,1,2,0,0,1,0,0,1,0
2026-08-04,fullsend,4,4,1,1,4,1,0,0,3,0,0,1
2026-08-04,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-05,fullsend,4,4,5,0,2,0,0,0,3,1,0,0
2026-08-05,agents,2,4,0,1,0,0,0,0,1,1,2,0
2026-08-06,fullsend,3,1,4,0,3,0,0,0,1,0,0,0
2026-08-06,agents,0,2,2,0,0,0,0,0,1,0,1,0
2026-08-07,fullsend,0,4,1,2,2,1,0,1,2,0,0,2
2026-08-07,agents,0,1,0,0,0,0,0,0,1,0,0,0
2026-08-08,fullsend,0,0,0,0,1,0,0,0,0,0,0,0
2026-08-08,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-09,fullsend,1,0,1,0,1,0,0,0,0,0,0,0
2026-08-09,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-10,fullsend,6,2,1,1,2,0,0,1,1,0,0,1
2026-08-10,agents,1,0,1,0,0,0,0,0,0,0,0,0
2026-08-11,fullsend,3,0,5,5,2,0,0,0,0,0,0,0
2026-08-11,agents,0,1,0,0,0,0,0,0,1,0,0,0
2026-08-12,fullsend,3,4,0,3,1,0,0,1,3,1,0,0
2026-08-12,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-13,fullsend,4,6,1,1,1,3,2,0,6,0,0,0
2026-08-13,agents,2,1,4,0,0,0,0,0,1,0,0,0
2026-08-14,fullsend,6,3,0,0,0,0,0,1,3,0,0,0
2026-08-14,agents,2,1,5,0,0,0,0,0,0,1,0,0
2026-08-15,fullsend,1,1,0,0,1,0,0,1,1,0,0,0
2026-08-15,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-16,fullsend,1,2,0,0,0,1,0,0,2,0,0,0
2026-08-16,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-17,fullsend,2,3,8,0,6,0,1,1,2,0,1,0
2026-08-17,agents,1,0,0,1,0,0,0,1,0,0,0,0
2026-08-18,fullsend,1,9,2,0,6,0,0,3,6,0,0,3
2026-08-18,agents,1,2,1,0,2,0,0,0,2,0,0,0
2026-08-19,fullsend,4,5,2,1,0,0,0,0,4,0,1,0
2026-08-19,agents,1,0,0,0,0,0,0,0,0,0,0,0
2026-08-20,fullsend,2,5,4,3,3,0,0,0,4,1,0,0
2026-08-20,agents,3,1,0,0,1,0,0,0,1,0,0,0
2026-08-21,fullsend,0,8,0,0,4,0,0,1,6,1,1,0
2026-08-21,agents,1,2,0,0,2,0,0,0,2,0,0,0
2026-08-22,fullsend,4,6,0,0,3,0,0,0,4,0,1,1
2026-08-22,agents,1,2,0,0,1,0,0,0,2,0,0,0
2026-08-23,fullsend,2,6,2,0,1,1,0,1,5,0,1,0
2026-08-23,agents,4,2,0,0,0,0,0,0,1,0,1,0
2026-08-24,fullsend,3,4,0,3,1,0,0,0,3,0,1,0
2026-08-24,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-25,fullsend,3,8,5,0,9,0,0,0,4,0,2,2
2026-08-25,agents,1,2,0,0,3,0,0,0,2,0,0,0
2026-08-27,fullsend,2,7,7,2,1,1,0,0,3,1,3,0
2026-08-27,agents,1,3,0,0,0,0,0,0,1,0,2,0
2026-08-28,fullsend,1,5,0,1,1,0,0,0,0,0,5,0
2026-08-28,agents,0,1,0,0,0,0,0,0,1,0,0,0
2026-08-29,fullsend,0,3,1,0,1,2,0,0,3,0,0,0
2026-08-29,agents,0,1,0,0,0,0,0,0,1,0,0,0
2026-08-30,fullsend,1,1,0,0,1,0,0,0,1,0,0,0
2026-08-30,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-31,fullsend,1,8,0,1,5,0,0,1,7,0,1,0
2026-08-31,agents,2,0,0,1,0,0,0,2,0,0,0,0
2026-09-01,fullsend,2,11,5,2,7,1,0,1,5,0,2,4
2026-09-01,agents,0,3,0,0,0,0,0,0,2,0,0,1
2026-09-02,fullsend,2,10,4,0,3,0,0,2,3,0,7,0
2026-09-02,agents,0,2,0,0,0,0,0,1,0,0,2,0
2026-09-03,fullsend,7,1,0,0,1,0,0,1,1,0,0,0
2026-09-03,agents,0,1,0,0,1,0,0,0,1,0,0,0
2026-09-04,fullsend,2,5,10,1,6,0,0,0,3,0,2,0
2026-09-04,agents,0,0,0,0,0,0,0,0,0,0,0,0
